number,name,region,weight,height,type1,type2,height,Evolution,Evolution2,Evolution3,Evolution4,Evolution5,Evolution6,Evolution7,Evolution8,EV Method,EV Method2,EV Method3,EV Method4,EV Method5,EV Method6,EV Method7,EV Method8,EV Stage,"R,B,Y","G,S,C","R,S,E","FR,LG","D,P,P","HG,SS","B,W,B2,W2","X,Y","OR,AS","S,M,US,UM","LGP,LGE","S,S",Entry Red,Entry Blue,Entry Yellow,Entry Gold,Entry Silver,Entry Crystal,Entry Ruby,Entry Saphire,Entry Emerald,Entry Fire Red,Entry Leaf Green,Entry Diamond,Entry Pearl,Entry Platinum,Entry Heart Gold,Entry Soul Silver,Entry Black,Entry White,Entry Black 2,Entry White 2,Entry X,Entry Y,Entry Omega Ruby,Entry Alpha Saphire,Entry Sun,Entry Moon,Entry Ultra Sun,Entry Ultra Moon,Entry Let's Go Pikachu,Entry Let's Go Eevee,Entry Sword,Entry Shield
25,pikachu,Kanto,13.2,"1'04""",electric,,1.04,raichu,raichu,,,,,,,thunderstone,thunderstone in alola,,,,,,,2,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,raichu,Kanto,66.1,"2'07""",electric,,2.07,,,,,,,,,,,,,,,,,3,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26.1,raichu,Alola,46.3,"2'04""",electric,psychic,2.04,,,,,,,,,,,,,,,,,3,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,sandshrew,Kanto,26.5,"2'00""",ground,,2,sandslash,,,,,,,,22,,,,,,,,1,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27.1,sandshrew,Alola,88.2,"2'04""",ice,steel,2.04,sandslash,,,,,,,,ice stone,,,,,,,,1,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,sandslash,Kanto,65,"3'03""",ground,,3.03,,,,,,,,,,,,,,,,,2,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28.1,sandslash,Alola,121.3,"3'11""",ice,steel,3.11,,,,,,,,,,,,,,,,,2,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,nidoran(F),Kanto,15.4,"1'04""",poison,,1.04,nidorina,,,,,,,,16,,,,,,,,1,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,nidorina,Kanto,44.1,"2'07""",poison,,2.07,nidoqueen,,,,,,,,moonstone,,,,,,,,2,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,nidoqueen,Kanto,132.3,"4'03""",poison,ground,4.03,,,,,,,,,,,,,,,,,3,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,nidoran(M),Kanto,19.8,"1'08""",poison,,1.08,nidorino,,,,,,,,16,,,,,,,,1,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,nidorino,Kanto,43,"2'11""",poison,,2.11,nidoking,,,,,,,,moonstone,,,,,,,,2,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,nidoking,Kanto,136.7,"4'07""",poison,ground,4.07,,,,,,,,,,,,,,,,,3,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,clefairy,Kanto,16.5,"2'00""",fairy,,2,clefable,,,,,,,,moonstone,,,,,,,,2,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,clefable,Kanto,88.2,"4'03""",fairy,,4.03,,,,,,,,,,,,,,,,,3,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,vulpix,Kanto,21.8,"2'00""",fire,,2,ninetails,,,,,,,,fire stone,,,,,,,,1,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37.1,vulpix,Alola,52.9,"2'07""",ice,,2.07,ninetails,,,,,,,,ice stone,,,,,,,,1,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,ninetails,Kanto,43.9,"3'07""",fire,,3.07,,,,,,,,,,,,,,,,,2,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38.1,ninetails,Alola,176.4,"5'07""",ice,fairy,5.07,,,,,,,,,,,,,,,,,2,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,Jigglypuff,Kanto,12.1,"1'08""",normal,fairy,1.08,wigglytuff,,,,,,,,moonstone,,,,,,,,2,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,wigglytuff,Kanto,26.5,"3'03""",normal,fairy,3.03,,,,,,,,,,,,,,,,,3,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,zubat,Kanto,16.5,"2'07""",poison,flying,2.07,golbat,,,,,,,,22,,,,,,,,1,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,golbat,Kanto,121.3,"5'03""",poison,flying,5.03,crobat,,,,,,,,lvl+ with friendship,,,,,,,,2,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,oddish,Kanto,11.9,"1'08""",grass,poison,1.08,gloom,,,,,,,,21,,,,,,,,1,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,gloom,Kanto,19,"2'07""",grass,poison,2.07,vileplume,bellossom,,,,,,,leaf stone,sun stone,,,,,,,2,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,vileplume,Kanto,41,"3'11""",grass,poison,3.11,,,,,,,,,,,,,,,,,3,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,paras,Kanto,11.9,"1'00""",bug,grass,1,parasect,,,,,,,,24,,,,,,,,1,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,parasect,Kanto,65,"3'03""",bug,grass,3.03,,,,,,,,,,,,,,,,,2,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,venonat,Kanto,66.1,"3'03""",bug,poison,3.03,venomoth,,,,,,,,31,,,,,,,,1,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,venomoth,Kanto,27.6,"4'11""",bug,poison,4.11,,,,,,,,,,,,,,,,,2,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,diglett,Kanto,1.8,"0'08""",ground,,0.08,dugtrio,,,,,,,,26,,,,,,,,1,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50.1,diglett,Alola,2.2,"0'08""",ground,steel,0.08,dugtrio,,,,,,,,26,,,,,,,,1,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,dugtrio,Kanto,73.4,"2'04""",ground,,2.04,,,,,,,,,,,,,,,,,2,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51.1,dugtrio,Alola,146.8,"2'04""",ground,steel,2.04,,,,,,,,,,,,,,,,,2,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,meowth,Kanto,9.3,"1'04""",normal,,1.04,persain,,,,,,,,28,,,,,,,,1,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52.1,meowth,Alola,9.3,"1'04""",dark,,1.04,persain,,,,,,,,lvl+ with friendship,,,,,,,,1,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52.2,meowth,Galar,16.5,"1'04""",steel,,1.04,perrserker,,,,,,,,28,,,,,,,,1,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,persain,Kanto,70.5,"3'03""",normal,,3.03,,,,,,,,,,,,,,,,,2,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53.1,persain,Alola,72.8,"3'07""",dark,,3.07,,,,,,,,,,,,,,,,,2,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,psyduck,Kanto,43.2,"2'07""",water,,2.07,golduck,,,,,,,,33,,,,,,,,1,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,golduck,Kanto,168.9,"5'07""",water,,5.07,,,,,,,,,,,,,,,,,2,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,mankey,Kanto,61.7,"1'08""",fighting,,1.08,primeape,,,,,,,,28,,,,,,,,1,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,primeape,Kanto,70.5,"3'08""",fighting,,3.08,,,,,,,,,,,,,,,,,2,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,growlithe,Kanto,41.9,"2'04""",fire,,2.04,arcanine,,,,,,,,fire stone,,,,,,,,1,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,arcanine,Kanto,341.7,"6'03""",fire,,6.03,,,,,,,,,,,,,,,,,2,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,poliwag,Kanto,27.3,"2'00""",water,,2,poliwhirl,,,,,,,,25,,,,,,,,1,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,poliwhirl,Kanto,44.1,"3'03""",water,,3.03,poliwrath,politoed,,,,,,,water stone,trade with king's rock,,,,,,,2,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,poliwrath,Kanto,119,"4'03""",water,fighting,4.03,,,,,,,,,,,,,,,,,3,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,abra,Kanto,43,"2'11""",psychic,,2.11,kadabra,,,,,,,,16,,,,,,,,1,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,kadabra,Kanto,124.6,"4'03""",psychic,,4.03,alakazam,,,,,,,,trade,,,,,,,,2,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,alakazam,Kanto,105.8,"4'11""",psychic,,4.11,,,,,,,,,,,,,,,,,3,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,machop,Kanto,43,"2'07""",fighting,,2.07,machoke,,,,,,,,28,,,,,,,,1,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,machoke,Kanto,155.4,"4'11""",fighting,,4.11,machamp,,,,,,,,trade,,,,,,,,2,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,machamp,Kanto,286.6,"5'03""",fighting,,5.03,,,,,,,,,,,,,,,,,3,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,bellsprout,Kanto,8.8,"2'04""",grass,poison,2.04,weepinbell,,,,,,,,21,,,,,,,,1,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,weepinbell,Kanto,14.1,"3'03""",grass,poison,3.03,victreebel,,,,,,,,leaf stone,,,,,,,,2,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,victreebel,Kanto,34.2,"5'07""",grass,poison,5.07,,,,,,,,,,,,,,,,,3,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,tentacool,Kanto,100.3,"2'11""",water,poison,2.11,tentacruel,,,,,,,,30,,,,,,,,1,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,tentacruel,Kanto,121.3,"5'03""",water,poison,5.03,,,,,,,,,,,,,,,,,2,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,geodude,Kanto,44.1,"1'04""",rock,ground,1.04,graveler,,,,,,,,25,,,,,,,,1,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74.1,geodude,Alola,44.8,"1'04""",rock,electric,1.04,graveler,,,,,,,,25,,,,,,,,1,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,graveler,Kanto,231.5,"3'03""",rock,ground,3.03,golem,,,,,,,,trade,,,,,,,,2,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75.1,graveler,Alola,242.5,"3'03""",rock,electric,3.03,golem,,,,,,,,trade,,,,,,,,2,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,golem,Kanto,661.4,"4'07""",rock,ground,4.07,,,,,,,,,,,,,,,,,3,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76.1,golem,Alola,696.7,"5'07""",rock,electric,5.07,,,,,,,,,,,,,,,,,3,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,ponyta,Kanto,66.1,"3'03""",fire,,3.03,rapidash,,,,,,,,40,,,,,,,,1,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77.1,ponyta,Galar,52.9,"2'07""",psychic,,2.07,rapidash,,,,,,,,40,,,,,,,,1,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,rapidash,Kanto,209.4,"5'07""",fire,,5.07,,,,,,,,,,,,,,,,,2,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78.1,rapidash,Galar,176.4,"5'07""",psychic,fairy,5.07,,,,,,,,,,,,,,,,,2,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,slowpoke,Kanto,79.4,"3'11""",water,psychic,3.11,slowbro,slowking,,,,,,,37,trade with kings rock,,,,,,,1,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79.1,slowpoke,Galar,79.4,"3'11""",psychic,,3.11,slowbro,slowking,,,,,,,galarica cuff,galarica wreath,,,,,,,1,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,slowbro,Kanto,173.1,"5'03""",water,psychic,5.03,,,,,,,,,,,,,,,,,2,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80.1,slowbro,Galar,155.4,"5'03""",poison,psychic,5.03,,,,,,,,,,,,,,,,,2,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,magnemite,Kanto,13.2,"1'00""",electric,steel,1,magneton,,,,,,,,30,,,,,,,,1,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,magneton,Kanto,132.3,"3'03""",electric,steel,3.03,magnezone,,,,,,,,thunderstone or lvl+ in electric area,,,,,,,,2,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,farfetch'd,Kanto,33.1,"2'07""",normal,flying,2.07,,,,,,,,,,,,,,,,,0,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83.1,farfetch'd,Galar,92.6,"2'07""",fighting,,2.07,sirfetch'd,,,,,,,,3 critical hits in one battle,,,,,,,,1,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,doduo,Kanto,86.4,"4'07""",normal,flying,4.07,dodrio,,,,,,,,31,,,,,,,,1,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,dodrio,Kanto,187.8,"5'11""",normal,flying,5.11,,,,,,,,,,,,,,,,,2,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,seel,Kanto,198.4,"3'07""",water,,3.07,dewgong,,,,,,,,34,,,,,,,,1,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,dewgong,Kanto,264.6,"5'07""",water,ice,5.07,,,,,,,,,,,,,,,,,2,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,grimer,Kanto,66.1,"2'11""",poison,,2.11,muk,,,,,,,,38,,,,,,,,1,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88.1,grimer,Alola,92.6,"2'04""",poison,dark,2.04,muk,,,,,,,,38,,,,,,,,1,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,muk,Kanto,66.1,"3'11""",poison,,3.11,,,,,,,,,,,,,,,,,2,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89.1,muk,Alola,114.6,"3'03""",poison,dark,3.03,,,,,,,,,,,,,,,,,2,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,shellder,Kanto,8.8,"1'00""",water,,1,cloyster,,,,,,,,water stone,,,,,,,,1,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,cloyster,Kanto,292.1,"4'11""",water,ice,4.11,,,,,,,,,,,,,,,,,2,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,gastley,Kanto,0.2,"4'03""",ghost,poison,4.03,haunter,,,,,,,,25,,,,,,,,1,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,haunter,Kanto,0.2,"5'03""",ghost,poison,5.03,gengar,,,,,,,,trade,,,,,,,,2,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,gengar,Kanto,89.3,"4'11""",ghost,poison,4.11,,,,,,,,,,,,,,,,,3,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,onix,Kanto,463,"28'10""",rock,ground,28.1,steelix,,,,,,,,trade with metal coat,,,,,,,,1,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,drowzee,Kanto,71.4,"3'03""",psychic,,3.03,hypno,,,,,,,,36,,,,,,,,1,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,hypno,Kanto,166.7,"5'03""",psychic,,5.03,,,,,,,,,,,,,,,,,2,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,krabby,Kanto,14.3,"1'04""",water,,1.04,kingler,,,,,,,,28,,,,,,,,1,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,kingler,Kanto,132.3,"4'03""",water,,4.03,,,,,,,,,,,,,,,,,2,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,voltorb,Kanto,22.9,"1'08""",electric,,1.08,electrode,,,,,,,,30,,,,,,,,1,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,electrode,Kanto,146.8,"3'11""",electric,,3.11,,,,,,,,,,,,,,,,,2,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102,exeggcute,Kanto,5.5,"1'04""",grass,psychic,1.04,exeggutor,exeggutor,,,,,,,leaf stone,leaf stone in alola,,,,,,,1,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103,exeggutor,Kanto,264.6,"6'07""",grass,psychic,6.007,,,,,,,,,,,,,,,,,2,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103.1,exeggutor,Alola,916.2,"35'09""",grass,dragon,35.09,,,,,,,,,,,,,,,,,2,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104,cubone,Kanto,14.3,"1'04""",ground,,1.04,marowak,marowak,,,,,,,28,28 at night in alola,,,,,,,1,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105,marowak,Kanto,99.2,"3'03""",ground,,3.03,,,,,,,,,,,,,,,,,2,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105.1,marowak,Alola,75,"3'03""",fire,ghost,3.03,,,,,,,,,,,,,,,,,2,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
106,hitmonlee,Kanto,109.8,"4'11""",fighting,,4.11,,,,,,,,,,,,,,,,,2,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
107,hitmonchan,Kanto,110.7,"4'07""",fighting,,4.07,,,,,,,,,,,,,,,,,2,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
108,lickitung,Kanto,144.4,"3'11""",normal,,3.11,lickilicky,,,,,,,,lvl+ with roll out,,,,,,,,1,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
